,title
24184,A Walk Among the Tombstones ( 2014 )
204,A Walk in the Clouds ( 1995 )
27874,A Walk in the Woods ( 2015 )
4949,A Walk to Remember ( 2002 )
23379,A Wednesday! ( 2008 )
31624,A Whole Life Ahead ( 2008 )
8038,A Woman Is a Woman ( 1961 )
4252,A.I. Artificial Intelligence ( 2001 )
10937,ATL ( 2006 )
19403,ATM ( 2012 )
8113,AVP: Alien vs. Predator ( 2004 )
38929,Aadukalam ( 2011 )
42469,Aanandam ( 2016 )
39244,Aasai ( 1995 )
25041,Aashiqui 2 ( 2013 )
5559,Abandon ( 2002 )
18070,Abduction ( 2011 )
20952,About Cherry ( 2012 )
22887,About Last Night ( 2014 )
5829,About Schmidt ( 2002 )
21513,About Time ( 2013 )
5259,About a Boy ( 2002 )
4348,Above the Law ( 1988 )
19142,Abraham Lincoln: Vampire Hunter ( 2012 )
5589,Absence of Malice ( 1981 )
1409,Absolute Power ( 1997 )
11228,Accepted ( 2006 )
339,Ace Ventura: Pet Detective ( 1994 )
18,Ace Ventura: When Nature Calls ( 1995 )
3622,Ace in the Hole ( 1951 )
23136,Across to Singapore ( 1928 )
18734,Act of Valor ( 2012 )
42474,Action Hero Biju ( 2016 )
3596,Action Jackson ( 1988 )
5786,Adaptation. ( 2002 )
13093,Admiral ( 2008 )
20739,Admission ( 2013 )
21581,Adore ( 2013 )
13601,Adventureland ( 2009 )
33934,Aferim! ( 2015 )
23451,Afflicted ( 2014 )
2332,Affliction ( 1997 )
21074,After Earth ( 2013 )
7290,After Hours ( 1985 )
8271,After the Sunset ( 2004 )
15092,After.Life ( 2010 )
44152,Aftermath ( 2017 )
21065,Aftershock ( 2012 )
7186,Against the Ropes ( 2004 )
6499,Agent Cody Banks ( 2003 )
7216,Agent Cody Banks 2: Destination London ( 2004 )
33034,Agneepath ( 2012 )
14919,Agora ( 2009 )
1526,Air Bud ( 1997 )
1541,Air Force One ( 1997 )
10123,Airborne ( 1993 )
36661,Airlift ( 2016 )
2685,Airplane! ( 1980 )
2415,Airport '77 ( 1977 )
2413,Airport ( 1970 )
2414,Airport 1975 ( 1974 )
39651,Aitraaz ( 2004 )
10921,Akeelah and the Bee ( 2006 )
1236,Akira ( 1988 )
581,Aladdin ( 1992 )
33197,Alaipayuthey ( 2000 )
21435,Alan Partridge: Alpha Papa ( 2013 )
12541,Alatriste ( 2006 )
18360,Albert Nobbs ( 2011 )
42243,Alesha Popovich and Tugarin the Dragon ( 2004 )
6368,Alex & Emma ( 2003 )
19726,Alex Cross ( 2012 )
8280,Alexander ( 2004 )
24453,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ( 2014 )"
8184,Alexander's Ragtime Band ( 1938 )
8251,Alfie ( 2004 )
4892,Ali ( 2001 )
39695,Alice Through the Looking Glass ( 2016 )
1010,Alice in Wonderland ( 1951 )
14953,Alice in Wonderland ( 2010 )
1178,Alien ( 1979 )
3587,Alien Nation ( 1988 )
43850,Alien: Covenant ( 2017 )
1618,Alien: Resurrection ( 1997 )
1165,Aliens ( 1986 )
14021,Aliens in the Attic ( 2009 )
12323,Aliens vs Predator: Requiem ( 2007 )
1280,Alien³ ( 1992 )
3141,Alive ( 1993 )
903,All About Eve ( 1950 )
2975,All About My Mother ( 1999 )
14321,All About Steve ( 2009 )
5052,All About the Benjamins ( 2002 )
2020,All Dogs Go to Heaven ( 1989 )
21958,All Is Lost ( 2013 )
5670,All The Queen's Men ( 2001 )
46329,All at Once ( 2014 )
11338,All the King's Men ( 2006 )
6662,All the President's Men ( 1976 )
30436,Allegiant ( 2016 )
41871,Allied ( 2016 )
42137,Almost Christmas ( 2016 )
3780,Almost Famous ( 2000 )
27898,Aloft ( 2014 )
30222,Aloha ( 2015 )
11897,Alone With Her ( 2006 )
5802,Alone in the Dark ( 1982 )
9682,Alone in the Dark ( 2005 )
7044,Along Came Polly ( 2004 )
4118,Along Came a Spider ( 2001 )
17585,Alpha and Omega ( 2010 )
4597,Altered States ( 1980 )
12257,Alvin and the Chipmunks ( 2007 )
18359,Alvin and the Chipmunks: Chipwrecked ( 2011 )
14624,Alvin and the Chipmunks: The Squeakquel ( 2009 )
4449,Always ( 1989 )
1189,Amadeus ( 1984 )
39242,Amarkalam ( 1999 )
14369,Amelia ( 2009 )
22197,Amen ( 2013 )
4950,American Adobo ( 2001 )
2751,American Beauty ( 1999 )
10978,American Dreamz ( 2006 )
12204,American Gangster ( 2007 )
3535,American Gigolo ( 1980 )
3254,American Graffiti ( 1973 )
2222,American History X ( 1998 )
22214,American Hustle ( 2013 )
4450,American Ninja ( 1985 )
4605,American Outlaws ( 2001 )
2600,American Pie ( 1999 )
4602,American Pie 2 ( 2001 )
3422,American Psycho ( 2000 )
18853,American Reunion ( 2012 )
24287,American Sniper ( 2014 )
32401,American Ultra ( 2015 )
6461,American Wedding ( 2003 )
1620,Amistad ( 1997 )
4115,Amores perros ( 2000 )
19829,Amour ( 2012 )
4856,Amélie ( 2001 )
1751,"An Alan Smithee Film: Burn, Hollywood, Burn ( 1998 )"
13057,An American Carol ( 2008 )
2038,An American Tail ( 1986 )
1281,An American Werewolf in London ( 1981 )
2687,An American Werewolf in Paris ( 1997 )
877,An American in Paris ( 1951 )
145,An Awfully Big Adventure ( 1995 )
14309,An Education ( 2009 )
2584,An Ideal Husband ( 1999 )
11059,An Inconvenient Truth ( 2006 )
10405,An Unfinished Life ( 2005 )
10180,An Unmarried Woman ( 1978 )
1443,Anaconda ( 1997 )
8133,Anacondas: The Hunt for the Blood Orchid ( 2004 )
5784,Analyze That ( 2002 )
2432,Analyze This ( 1999 )
1616,Anastasia ( 1997 )
22333,Anchorman 2: The Legend Continues ( 2013 )
7941,Anchorman: The Legend of Ron Burgundy ( 2004 )
23769,And So It Goes ( 2014 )
4187,Angel Eyes ( 2001 )
3592,Angel Heart ( 1987 )
3071,Angela's Ashes ( 1999 )
13724,Angels & Demons ( 2009 )
6173,Anger Management ( 2003 )
3310,Animal House ( 1978 )
15673,Animal Kingdom ( 2010 )
37073,Anjaana Anjaani ( 2010 )
6964,Anna Karenina ( 1935 )
1440,Anna Karenina ( 1997 )
24304,Annabelle ( 2014 )
10794,Annapolis ( 2006 )
3921,Annie ( 1982 )
25763,Annie ( 2014 )
8499,Annie Get Your Gun ( 1950 )
1193,Annie Hall ( 1977 )
32064,Anomalisa ( 2015 )
