,title
4102,C.H.U.D. ( 1984 )
24222,CBGB ( 2013 )
44004,CHiPS ( 2017 )
15220,Ca$h ( 2010 )
6582,Cabin Fever ( 2003 )
11224,Cabin in the Sky ( 1943 )
3439,Caddyshack ( 1980 )
39864,Café Society ( 2016 )
26910,Cake ( 2014 )
425,Calendar Girl ( 1993 )
7026,Calendar Girls ( 2003 )
2755,Caligula ( 1979 )
21477,Cameron's Closet ( 1988 )
5429,Camilla ( 1994 )
4366,Camille Claudel 1915 ( 2013 )
24167,Camp X-Ray ( 2014 )
3972,Can't Buy Me Love ( 1987 )
1792,Can't Hardly Wait ( 1998 )
154,Canadian Bacon ( 1995 )
1301,Candyman ( 1992 )
8230,Cannonball ( 1976 )
1302,Cape Fear ( 1991 )
14273,Capitalism: A Love Story ( 2009 )
14318,Capone ( 1975 )
10421,Capote ( 2005 )
26611,Captain America: Civil War ( 2016 )
17507,Captain America: The First Avenger ( 2011 )
23099,Captain America: The Winter Soldier ( 2014 )
4611,Captain Corelli's Mandolin ( 2001 )
39766,Captain Fantastic ( 2016 )
21844,Captain Phillips ( 2013 )
5462,Captain Ron ( 1992 )
44232,Captain Underpants: The First Epic Movie ( 2017 )
32575,Captive ( 2012 )
36041,Captive ( 2015 )
11966,Captivity ( 2007 )
37566,Capture the Flag ( 2015 )
7060,"Car 54, Where Are You? ( 1994 )"
426,Carlito's Way ( 1993 )
16185,Carlos ( 2010 )
18050,Carnage ( 2011 )
3459,Carnosaur ( 1993 )
29903,Carol ( 2015 )
1304,Carrie ( 1976 )
21893,Carrie ( 2013 )
11013,Cars ( 2006 )
17425,Cars 2 ( 2011 )
44240,Cars 3 ( 2017 )
889,Casablanca ( 1942 )
15029,Case 39 ( 2009 )
15,Casino ( 1995 )
16245,Casino Jack ( 2010 )
5677,Casino Royale ( 1967 )
11444,Casino Royale ( 2006 )
155,Casper ( 1995 )
9539,Casshern ( 2004 )
3904,Cast Away ( 2000 )
4461,Casualties of War ( 1989 )
7413,Cat People ( 1942 )
948,Cat on a Hot Tin Roof ( 1958 )
5873,Catch Me If You Can ( 2002 )
7133,Catch That Kid ( 2004 )
11594,Catch and Release ( 2006 )
4231,Catch-22 ( 1970 )
15960,Catfish ( 2010 )
4268,Cats & Dogs ( 2001 )
15897,Cats & Dogs 2 : The Revenge of Kitty Galore ( 2010 )
1436,Cats Don't Dance ( 1997 )
7966,Catwoman ( 2004 )
1827,Cavalcade ( 1933 )
14501,Cell 211 ( 2009 )
8163,Cellular ( 2004 )
3480,Center Stage ( 2000 )
40190,Central Intelligence ( 2016 )
2250,Central Station ( 1998 )
15688,Centurion ( 2010 )
813,Chain Reaction ( 1996 )
16916,Chalet Girl ( 2011 )
18250,Chandni Chowk To China ( 2009 )
13096,Changeling ( 2008 )
5175,Changing Lanes ( 2002 )
11196,Chaos ( 2005 )
18632,Chapiteau-Show ( 2011 )
25841,Chappie ( 2015 )
888,Charade ( 1963 )
1854,Chariots of Fire ( 1981 )
40466,Charlie ( 2015 )
15639,Charlie St. Cloud ( 2010 )
12321,Charlie Wilson's War ( 2007 )
9564,Charlie and the Chocolate Factory ( 2005 )
3859,Charlie's Angels ( 2000 )
6378,Charlie's Angels: Full Throttle ( 2003 )
11484,Charlotte's Web ( 2006 )
7658,Charly ( 1968 )
1567,Chasing Amy ( 1997 )
7040,Chasing Liberty ( 2004 )
7032,Cheaper by the Dozen ( 2003 )
10679,Cheaper by the Dozen 2 ( 2005 )
1936,Cheetah ( 1989 )
23425,Chef ( 2014 )
21515,Chennai Express ( 2013 )
13988,Cheri ( 2009 )
3973,Cherry 2000 ( 1987 )
5875,Chicago ( 2002 )
10554,Chicken Little ( 2005 )
3636,Chicken Run ( 2000 )
19046,Chicken with Plums ( 2011 )
28956,Child 44 ( 2015 )
1888,Child's Play ( 1988 )
1889,Child's Play 2 ( 1990 )
1890,Child's Play 3 ( 1991 )
1797,Children of Heaven ( 1997 )
11393,Children of Men ( 2006 )
2019,Children of the Corn ( 1984 )
2408,Children of the Corn II: The Final Sacrifice ( 1993 )
2729,Chill Factor ( 1999 )
1214,Chinatown ( 1974 )
15039,Chloe ( 2009 )
3896,Chocolat ( 2000 )
13288,Choke ( 2008 )
14107,Christopher Columbus: The Discovery ( 1992 )
18560,Chronicle ( 2012 )
1000,Cinderella ( 1950 )
28706,Cinderella ( 2015 )
10130,Cinderella Man ( 2005 )
8291,Cinderfella ( 1960 )
14429,Cirque du Freak: The Vampire's Assistant ( 2009 )
39241,Citizen ( 2001 )
900,Citizen Kane ( 1941 )
1350,Citizen Ruth ( 1996 )
5445,City By The Sea ( 2002 )
6689,City Heat ( 1984 )
14279,City Island ( 2009 )
3198,City Lights ( 1931 )
4203,City Slickers ( 1991 )
1734,City of Angels ( 1998 )
13040,City of Ember ( 2008 )
5903,City of God ( 2002 )
7761,City of Joy ( 1992 )
15172,City of Life and Death ( 2009 )
5531,Claire of the Moon ( 1992 )
5422,Clash of the Titans ( 1981 )
15067,Clash of the Titans ( 2010 )
21436,Class of 1999 ( 1990 )
344,Clear and Present Danger ( 1994 )
4156,Cleopatra ( 1963 )
219,Clerks ( 1994 )
11044,Clerks II ( 2006 )
11036,Click ( 2006 )
429,Cliffhanger ( 1993 )
7224,Clifford ( 1994 )
156,Clockers ( 1995 )
5143,Clockstoppers ( 2002 )
3360,Close Encounters of the Third Kind ( 1977 )
8284,Closer ( 2004 )
8995,Closet Land ( 1991 )
19728,Cloud Atlas ( 2012 )
25332,Clouds of Sils Maria ( 2014 )
14229,Cloudy with a Chance of Meatballs ( 2009 )
21832,Cloudy with a Chance of Meatballs 2 ( 2013 )
12367,Cloverfield ( 2008 )
7190,Club Dread ( 2004 )
8915,Club Paradise ( 1986 )
2306,Clue ( 1985 )
9650,Coach Carter ( 2005 )
4718,Coal Miner's Daughter ( 1980 )
4372,Cocktail ( 1988 )
33035,Cocktail ( 2012 )
2301,Cocoon: The Return ( 1988 )
11537,Code Name: The Cleaner ( 2007 )
7033,Cold Mountain ( 2003 )
8101,Collateral ( 2004 )
42234,Collateral Beauty ( 2016 )
4975,Collateral Damage ( 2002 )
12953,College ( 2008 )
42812,Collide ( 2016 )
17730,Colombiana ( 2011 )
32065,Colonia ( 2016 )
431,Color of Night ( 1994 )
4373,Colors ( 1988 )
5820,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean ( 1982 )"
4374,Coming to America ( 1988 )
6539,Commando ( 1985 )
30677,Company ( 2002 )
1488,Con Air ( 1997 )
1521,Conan the Barbarian ( 1982 )
17751,Conan the Barbarian ( 2011 )
4923,Conan the Destroyer ( 1984 )
34226,Concussion ( 2015 )
5887,Confessions of a Dangerous Mind ( 2002 )
13605,Confessions of a Shopaholic ( 2009 )
7187,Confessions of a Teenage Drama Queen ( 2004 )
45730,Confidential Assignment ( 2017 )
157,Congo ( 1995 )
7294,Connie and Carla ( 2004 )
2425,Conquest of the Planet of the Apes ( 1972 )
6677,Consenting Adults ( 1992 )
1531,Conspiracy Theory ( 1997 )
9740,Constantine ( 2005 )
1518,Contact ( 1997 )
17813,Contagion ( 2011 )
1507,Contempt ( 1963 )
18403,Contraband ( 2012 )
11339,Conversations with Other Women ( 2006 )
15977,Conviction ( 2010 )
6605,Convoy ( 1978 )
2476,Cookie's Fortune ( 1999 )
1238,Cool Hand Luke ( 1967 )
998,Cool Runnings ( 1993 )
7099,Cool World ( 1992 )
3326,Cool as Ice ( 1991 )
1523,Cop Land ( 1997 )
14903,Cop Out ( 2010 )
13423,Coraline ( 2009 )
18329,Coriolanus ( 2011 )
4728,Corky Romano ( 2001 )
10416,Corpse Bride ( 2005 )
19105,Cosmopolis ( 2012 )
16734,Country Strong ( 2010 )
14320,Couples Retreat ( 2009 )
637,Courage Under Fire ( 1996 )
18725,Courageous ( 2011 )
4959,Cousins ( 1989 )
16557,Cowboys & Aliens ( 2011 )
44852,Cowboys & Angels ( 2003 )
3709,Coyote Ugly ( 2000 )
6082,Cradle 2 the Grave ( 2003 )
11186,Crank ( 2006 )
13670,Crank: High Voltage ( 2009 )
10045,Crash ( 2004 )
14620,Crazy Heart ( 2009 )
17510,"Crazy, Stupid, Love. ( 2011 )"
4254,Crazy/Beautiful ( 2001 )
34528,Creed ( 2015 )
2909,Creepshow ( 1982 )
2910,Creepshow 2 ( 1987 )
2866,Crimes and Misdemeanors ( 1989 )
30576,Criminal ( 2016 )
28332,Crimson Peak ( 2015 )
158,Crimson Tide ( 1995 )
4377,Critters ( 1986 )
4378,Critters 2 ( 1988 )
2363,Crocodile Dundee ( 1986 )
4137,Crocodile Dundee in Los Angeles ( 2001 )
20046,Crooked Arrows ( 2012 )
13723,Crossing Over ( 2009 )
11267,Crossover ( 2006 )
4988,Crossroads ( 2002 )
3878,"Crouching Tiger, Hidden Dragon ( 2000 )"
2434,Cruel Intentions ( 1999 )
33526,Cruel World ( 2005 )
8966,Cry-Baby ( 1990 )
10369,Cry_Wolf ( 2005 )
2127,Cube ( 1997 )
2018,Cujo ( 1983 )
978,Curdled ( 1996 )
4529,Cure ( 1997 )
10830,Curious George ( 2006 )
11111,Curse of the Pink Panther ( 1983 )
9794,Cursed ( 2005 )
14,Cutthroat Island ( 1995 )
4464,Cyborg ( 1989 )
7322,D-Tox ( 2002 )
11526,DOA: Dead or Alive ( 2006 )
4465,Dad ( 1989 )
12053,Daddy Day Camp ( 2007 )
6224,Daddy Day Care ( 2003 )
35388,Daddy's Home ( 2015 )
11634,Daddy's Little Girls ( 2007 )
7623,Dahmer ( 2002 )
21999,Dallas Buyers Club ( 2013 )
2683,Damien: Omen II ( 1978 )
10541,Damnation Alley ( 1977 )
12129,Dan in Real Life ( 2007 )
3793,Dancer in the Dark ( 2000 )
583,Dances with Wolves ( 1990 )
42772,Dangal ( 2016 )
1917,Dangerous Liaisons ( 1988 )
29511,Danny Collins ( 2015 )
1390,Dante's Peak ( 1997 )
6043,Daredevil ( 2003 )
12427,Dark Angel ( 1990 )
6071,Dark Blue ( 2002 )
1667,Dark City ( 1998 )
31783,Dark Places ( 2015 )
18984,Dark Shadows ( 2012 )
20564,Dark Skies ( 2013 )
20813,Dark Tide ( 2012 )
10221,Dark Water ( 2005 )
6838,Darkman ( 1990 )
1196,Das Boot ( 1981 )
10843,Date Movie ( 2006 )
15087,Date Night ( 2010 )
10815,Dave Chappelle's Block Party ( 2005 )
7258,Dawn of the Dead ( 1978 )
7231,Dawn of the Dead ( 2004 )
23737,Dawn of the Planet of the Apes ( 2014 )
11847,Day Watch ( 2006 )
6606,Day of the Dead ( 1985 )
14682,Daybreakers ( 2009 )
778,Daylight ( 1996 )
11623,Days of Glory ( 2006 )
1075,Days of Thunder ( 1990 )
436,Dazed and Confused ( 1993 )
5608,Dead & Buried ( 1981 )
3094,Dead Calm ( 1989 )
35,Dead Man Walking ( 1995 )
1208,Dead Poets Society ( 1989 )
2444,Dead Ringers ( 1988 )
11729,Dead Silence ( 2007 )
13827,Dead Snow ( 2009 )
17590,Deadfall ( 1993 )
19898,Deadfall ( 2012 )
26608,Deadpool ( 2016 )
38078,"Dear Guest, When Will You Leave? ( 2010 )"
14934,Dear John ( 2010 )
42642,Dear Zindagi ( 2016 )
3149,Death Becomes Her ( 1992 )
12832,Death Defying Acts ( 2007 )
12844,Death Note ( 2006 )
11909,Death Proof ( 2007 )
12932,Death Race ( 2008 )
7588,Death Race 2000 ( 1975 )
12060,Death Sentence ( 2007 )
4080,Death Warrant ( 1990 )
3319,Death Wish ( 1974 )
3320,Death Wish 2 ( 1982 )
3321,Death Wish 3 ( 1985 )
3323,Death Wish 5: The Face of Death ( 1994 )
11958,Death at a Funeral ( 2007 )
15146,Death at a Funeral ( 2010 )
11407,Death of a President ( 2006 )
4092,Death on the Nile ( 1978 )
12102,December Boys ( 2007 )
12618,Deception ( 2008 )
22631,Decoding Annie Parker ( 2014 )
1627,Deconstructing Harry ( 1997 )
2616,Deep Blue Sea ( 1999 )
1773,Deep Impact ( 1998 )
1678,Deep Rising ( 1998 )
40988,Deepwater Horizon ( 2016 )
15073,Defendor ( 2009 )
13299,Defiance ( 2008 )
17484,Delhi Belly ( 2011 )
1142,Delicatessen ( 1991 )
5219,Delirious ( 1991 )
2764,Deliverance ( 1972 )
22125,Delivery Man ( 2013 )
32981,Demolition ( 2016 )
437,Demolition Man ( 1993 )
28493,Demonic ( 2015 )
42006,Denial ( 2016 )
6052,Dennis the Menace ( 1993 )
10577,Derailed ( 2005 )
7375,Desert Hearts ( 1985 )
44593,Desmundo ( 2002 )
160,Desperado ( 1995 )
2262,Desperately Seeking Susan ( 1985 )
15532,Despicable Me ( 2010 )
21216,Despicable Me 2 ( 2013 )
44952,Despicable Me 3 ( 2017 )
18553,Detective Dee and the Mystery of the Phantom Flame ( 2010 )
2666,Detroit Rock City ( 1999 )
10292,Deuce Bigalow: European Gigolo ( 2005 )
3038,Deuce Bigalow: Male Gigolo ( 1999 )
15956,Devil ( 2010 )
161,Devil in a Blue Dress ( 1995 )
22588,Devil's Due ( 2014 )
39240,Dheena ( 2001 )
22442,Dhoom ( 2004 )
30710,Dhoom 2 ( 2006 )
30707,Dhoom 3 ( 2013 )
1061,Dial M for Murder ( 1954 )
3866,Diamonds Are Forever ( 1971 )
22520,Diana ( 2013 )
15149,Diary of a Wimpy Kid ( 2010 )
19368,Diary of a Wimpy Kid: Dog Days ( 2012 )
16974,Diary of a Wimpy Kid: Rodrick Rules ( 2011 )
44167,Diary of a Wimpy Kid: The Long Haul ( 2017 )
12490,Diary of the Dead ( 2007 )
2653,Dick ( 1999 )
2508,Dick Tracy ( 1990 )
14595,Did You Hear About the Morgans? ( 2009 )
5756,Die Another Day ( 2002 )
1014,Die Hard ( 1988 )
1328,Die Hard 2 ( 1990 )
162,Die Hard: With a Vengeance ( 1995 )
9032,Diggstown ( 1992 )
9351,Dil Chahta Hai ( 2001 )
38532,Dil Dhadakne Do ( 2015 )
9191,Dil Se.. ( 1998 )
34389,Dil To Pagal Hai ( 1997 )
13854,Dillinger ( 1973 )
36037,Dilwale ( 2015 )
10340,Dilwale Dulhania Le Jayenge ( 1995 )
830,Dingo ( 1991 )
15600,Dinner for Schmucks ( 2010 )
3501,Dinosaur ( 2000 )
1063,Dirty Dancing ( 1987 )
7191,Dirty Dancing: Havana Nights ( 2004 )
15978,Dirty Girl ( 2010 )
36899,Dirty Grandpa ( 2016 )
4738,Dirty Harry ( 1971 )
12950,Disaster Movie ( 2008 )
221,Disclosure ( 1994 )
20842,Disconnect ( 2012 )
14926,District 13: Ultimatum ( 2009 )
14022,District 9 ( 2009 )
10734,District B13 ( 2004 )
11786,Disturbia ( 2007 )
1923,Disturbing Behavior ( 1998 )
22573,Divergent ( 2014 )
20113,Django Unchained ( 2012 )
3313,Do the Right Thing ( 1989 )
2032,Doctor Dolittle ( 1967 )
1808,Doctor Dolittle ( 1998 )
26612,Doctor Strange ( 2016 )
12733,Doctor Who ( 1996 )
1964,Doctor Zhivago ( 1965 )
7856,DodgeBall: A True Underdog Story ( 2004 )
3253,Dog Day Afternoon ( 1975 )
2944,Dogma ( 1999 )
7242,Dogville ( 2003 )
18418,Dolphin Tale ( 2011 )
25035,Dolphin Tale 2 ( 2014 )
4768,Domestic Disturbance ( 2001 )
10126,Dominion: Prequel to the Exorcist ( 2005 )
10400,Domino ( 2005 )
220,Don Juan DeMarco ( 1994 )
17714,Don't Be Afraid of the Dark ( 2010 )
40652,Don't Breathe ( 2016 )
4697,Don't Say a Word ( 2001 )
3922,Don't Tell Mom the Babysitter's Dead ( 1991 )
1416,Donnie Brasco ( 1997 )
4761,Donnie Darko ( 2001 )
4283,Donovan's Reef ( 1963 )
10399,Doom ( 2005 )
12482,Doomsday ( 2008 )
27906,Dope ( 2015 )
37957,Dostana ( 2008 )
9708,Double Dragon ( 1994 )
4081,Double Impact ( 1991 )
3324,Double Indemnity ( 1944 )
2774,Double Jeopardy ( 1999 )
13223,Doubt ( 2008 )
10646,Down ( 2001 )
21037,Down Terrace ( 2009 )
5430,Down and Out in Beverly Hills ( 1986 )
11001,Down in the Valley ( 2005 )
6247,Down with Love ( 2003 )
9678,Downfall ( 2004 )
4250,Dr. Dolittle 2 ( 2001 )
13531,Dr. Horrible's Sing-Along Blog ( 2008 )
2842,Dr. No ( 1962 )
734,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ( 1964 )
2536,Dracula ( 1931 )
1298,Dracula ( 1992 )
3912,Dracula 2000 ( 2000 )
24324,Dracula Untold ( 2014 )
8619,Dracula: Prince of Darkness ( 1966 )
23205,Draft Day ( 2014 )
13777,Drag Me to Hell ( 2009 )
6974,Dragnet ( 1987 )
31425,Dragon Ball Z: Resurrection 'F' ( 2015 )
30317,Dragon Blade ( 2015 )
12355,Dragon Wars: D-War ( 2007 )
4938,Dragon: The Bruce Lee Story ( 1993 )
643,DragonHeart ( 1996 )
5009,Dragonfly ( 2002 )
4922,Dragonslayer ( 1981 )
18092,Dream House ( 2011 )
6136,Dreamcatcher ( 2003 )
11507,Dreamgirls ( 2006 )
2891,Dreaming of Joseph Lees ( 1999 )
32943,Dreaming of Space ( 2005 )
19491,Dredd ( 2012 )
4815,Dressed to Kill ( 1980 )
25805,Drishyam ( 2013 )
17502,Drive ( 2011 )
16802,Drive Angry ( 2011 )
2781,Drive Me Crazy ( 1999 )
4147,Driven ( 2001 )
1859,Driving Miss Daisy ( 1989 )
21872,Drona ( 2008 )
1098,Drop Dead Fred ( 1991 )
2612,Drop Dead Gorgeous ( 1999 )
3215,Drowning Mona ( 2000 )
2912,Drugstore Cowboy ( 1989 )
5825,Drumline ( 2002 )
3897,"Dude, Where’s My Car? ( 2000 )"
16116,Due Date ( 2010 )
3677,Duel in the Sun ( 1946 )
227,Dumb and Dumber ( 1994 )
24983,Dumb and Dumber To ( 2014 )
6357,Dumb and Dumberer: When Harry Met Lloyd ( 2003 )
1007,Dumbo ( 1941 )
1918,Dune ( 1984 )
3879,Dungeons & Dragons ( 2000 )
34304,Duniyadari ( 2014 )
45617,Dunkirk ( 2017 )
6638,Duplex ( 2003 )
13552,Duplicity ( 2009 )
8998,Dutch ( 1991 )
17567,Dylan Dog: Dead of Night ( 2011 )
11447,Déjà Vu ( 2006 )
1072,E.T. the Extra-Terrestrial ( 1982 )
13014,Eagle Eye ( 2008 )
13717,Earth ( 2007 )
4471,Earth Girls Are Easy ( 1988 )
23867,Earth to Echo ( 2014 )
2428,Earthquake ( 1974 )
3425,East Is East ( 1999 )
926,East of Eden ( 1955 )
12105,Eastern Promises ( 2007 )
15876,Easy A ( 2010 )
44898,Easy on the Eyes ( 2014 )
15877,Eat Pray Love ( 2010 )
231,Ed Wood ( 1994 )
36659,Eddie the Eagle ( 2016 )
14840,Edge of Darkness ( 2010 )
2518,Edge of Seventeen ( 1998 )
23511,Edge of Tomorrow ( 2014 )
2184,Edward Scissorhands ( 1990 )
38024,Eega ( 2012 )
8582,Eegah ( 1962 )
10842,Eight Below ( 2006 )
3375,El Dorado ( 1966 )
3158,El Mariachi ( 1992 )
12914,Elegy ( 2008 )
9648,Elektra ( 2005 )
6765,Elephant ( 2003 )
6809,Elf ( 2003 )
2229,Elizabeth ( 1998 )
12132,Elizabeth: The Golden Age ( 2007 )
10486,Elizabethtown ( 2005 )
7251,Ella Enchanted ( 2004 )
40757,Elle ( 2016 )
20517,Elles ( 2011 )
4071,Elmer Gantry ( 1960 )
21186,Elysium ( 2013 )
37125,Embrace of the Serpent ( 2015 )
815,Emma ( 1996 )
5785,Empire ( 2002 )
21550,Empire State ( 2013 )
3984,Empire of the Sun ( 1987 )
10532,Empire of the Wolves ( 2005 )
11355,Employee of the Month ( 2006 )
12249,Enchanted ( 2007 )
3005,End of Days ( 1999 )
19514,End of Watch ( 2012 )
21973,Ender's Game ( 2013 )
22834,Endless Love ( 2014 )
7326,Enemy Mine ( 1985 )
4103,Enemy at the Gates ( 2001 )
2246,Enemy of the State ( 1998 )
20238,English Vinglish ( 2012 )
5269,Enough ( 2002 )
7327,Enter the Dragon ( 1973 )
15475,Enter the Void ( 2009 )
17941,Enthiran ( 2010 )
30321,Entourage ( 2015 )
2497,Entrapment ( 1999 )
21027,Epic ( 2013 )
11597,Epic Movie ( 2007 )
32647,Equals ( 2015 )
5787,Equilibrium ( 2002 )
11485,Eragon ( 2006 )
767,Eraser ( 1996 )
3562,Eraserhead ( 1977 )
3298,Erin Brockovich ( 2000 )
22660,Ernest & Celestine ( 2012 )
3985,Ernest Goes to Camp ( 1987 )
4387,Ernest Saves Christmas ( 1988 )
21882,Escape Plan ( 2013 )
7741,Escape from Alcatraz ( 1979 )
826,Escape from L.A. ( 1996 )
1101,Escape from New York ( 1981 )
20537,Escape from Planet Earth ( 2013 )
2426,Escape from the Planet of the Apes ( 1971 )
5799,Escape to Victory ( 1981 )
28859,Escobar: Paradise Lost ( 2014 )
7232,Eternal Sunshine of the Spotless Mind ( 2004 )
7188,EuroTrip ( 2004 )
11964,Evan Almighty ( 2007 )
1524,Event Horizon ( 1997 )
2022,Ever After: A Cinderella Story ( 1998 )
33052,Everest ( 2015 )
5264,Every Which Way But Loose ( 1978 )
38826,Everybody Wants Some!! ( 2016 )
17299,Everything Must Go ( 2010 )
3697,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask ( 1972 )
10370,Everything is Illuminated ( 2005 )
20778,Evil Dead ( 2013 )
1223,Evil Dead II ( 1987 )
1372,Evita ( 1996 )
4225,Evolution ( 2001 )
24528,Ex Machina ( 2015 )
2765,Excalibur ( 1981 )
489,Executive Decision ( 1996 )
4104,Exit Wounds ( 2001 )
5680,Exodus ( 1960 )
24941,Exodus: Gods and Kings ( 2014 )
1895,Exorcist II: The Heretic ( 1977 )
8118,Exorcist: The Beginning ( 2004 )
12623,Expelled: No Intelligence Allowed ( 2008 )
7428,Explorers ( 1985 )
14226,Extract ( 2009 )
14830,Extraordinary Measures ( 2010 )
981,Extreme Measures ( 1996 )
5764,Extreme Ops ( 2002 )
18268,Extremely Loud & Incredibly Close ( 2011 )
38533,Eye in the Sky ( 2015 )
17175,Eye of the Dolphin ( 2007 )
2606,Eyes Wide Shut ( 1999 )
3334,Eyes of Laura Mars ( 1978 )
35787,F.C. De Kampioenen: Kampioen zijn blijft plezant ( 2013 )
11386,F.I.S.T. ( 1978 )
45906,FC Venus ( 2005 )
1508,Face/Off ( 1997 )
11387,Facing the Giants ( 2006 )
7922,Fahrenheit 9/11 ( 2004 )
10858,Failure to Launch ( 2006 )
70,Fair Game ( 1995 )
16139,Fair Game ( 2010 )
654,Faithful ( 1996 )
2913,Falling Down ( 1993 )
29586,Falling From Grace ( 1992 )
2074,Family Plot ( 1976 )
39064,Fan ( 2016 )
45519,Fanaa ( 2006 )
1244,Fantasia ( 1940 )
3051,Fantasia 2000 ( 1999 )
11904,Fantastic 4: Rise of the Silver Surfer ( 2007 )
30437,Fantastic Beasts and Where to Find Them ( 2016 )
10223,Fantastic Four ( 2005 )
26607,Fantastic Four ( 2015 )
14440,Fantastic Mr. Fox ( 2009 )
3810,Fantastic Voyage ( 1966 )
3150,Far and Away ( 1992 )
5693,Far from Heaven ( 2002 )
4478,Farewell to the King ( 1989 )
8771,"Farewell, My Lovely ( 1975 )"
600,Fargo ( 1996 )
13632,Fast & Furious ( 2009 )
21026,Fast & Furious 6 ( 2013 )
17114,Fast Five ( 2011 )
3101,Fast Times at Ridgemont High ( 1982 )
16396,Faster ( 2010 )
34745,Faster than Rabbits ( 2014 )
25464,Fat Pizza ( 2003 )
2993,Fatal Attraction ( 1987 )
1781,Fear and Loathing in Las Vegas ( 1998 )
5438,FearDotCom ( 2002 )
24500,Felix The Cat: The Movie ( 1988 )
5690,Femme Fatale ( 2002 )
42515,Fences ( 2016 )
2811,Ferris Bueller's Day Off ( 1986 )
9924,Fever Pitch ( 2005 )
4740,Fiddler on the Roof ( 1971 )
11906,Fido ( 2006 )
43306,Fifty Shades Darker ( 2017 )
35354,Fifty Shades of Black ( 2016 )
27521,Fifty Shades of Grey ( 2015 )
2852,Fight Club ( 1999 )
21869,Filth ( 2013 )
3299,Final Destination ( 2000 )
5944,Final Destination 2 ( 2003 )
10810,Final Destination 3 ( 2006 )
17688,Final Destination 5 ( 2011 )
4328,Final Fantasy: The Spirits Within ( 2001 )
10876,Find Me Guilty ( 2006 )
39145,Finding Dory ( 2016 )
3901,Finding Forrester ( 2000 )
39813,Finding Mr. Right ( 2013 )
6256,Finding Nemo ( 2003 )
8273,Finding Neverland ( 2004 )
1558,Fire Down Below ( 1997 )
4924,Fire and Ice ( 1983 )
8308,Fire in the Sky ( 1993 )
20083,Fire with Fire ( 2012 )
13792,Fired Up! ( 2009 )
5964,Firefox ( 1982 )
13179,Fireproof ( 2008 )
3594,Firestarter ( 1984 )
10831,Firewall ( 2006 )
2296,First Blood ( 1982 )
165,First Knight ( 1995 )
2024,"First Love, Last Rites ( 1998 )"
14874,Fish Tank ( 2009 )
25749,Fishtales ( 2007 )
14172,Five Graves to Cairo ( 1943 )
34453,Fiza ( 2000 )
11395,Flags of Our Fathers ( 2006 )
4824,Flash Gordon ( 1980 )
2835,Flashdance ( 1983 )
3572,Flatliners ( 1990 )
12364,Flawless ( 2007 )
789,Fled ( 1996 )
15043,Flesh and the Devil ( 1926 )
2264,Fletch ( 1985 )
2265,Fletch Lives ( 1989 )
11396,Flicka ( 2006 )
19789,Flight ( 2012 )
39545,Flight Crew ( 2016 )
9501,Flight of the Phoenix ( 2004 )
10415,Flightplan ( 2005 )
15889,Flipped ( 2010 )
700,Flipper ( 1996 )
123,Flirting with Disaster ( 1996 )
38638,Florence Foster Jenkins ( 2016 )
1628,Flubber ( 1997 )
11416,Flushed Away ( 2006 )
11336,Flyboys ( 2006 )
18299,Flypaper ( 2011 )
28485,Focus ( 2015 )
2472,Following ( 1998 )
25776,Foodfight! ( 2012 )
12434,Fool's Gold ( 2008 )
7159,Foolish Wives ( 1922 )
9446,Foolproof ( 2003 )
3676,Footloose ( 1984 )
18026,Footloose ( 2011 )
19154,For Greater Glory - The True Story of Cristiada ( 2012 )
448,For Love or Money ( 1993 )
7765,For Me and My Gal ( 1942 )
1629,For Richer or Poorer ( 1997 )
11439,For Your Consideration ( 2006 )
2882,For Your Eyes Only ( 1981 )
3567,For a Few Dollars More ( 1965 )
18610,"For a Good Time, Call... ( 2012 )"
4172,For the Boys ( 1991 )
25994,Forbidden Kingdom ( 2014 )
1262,Forbidden Planet ( 1956 )
3407,Force 10 from Navarone ( 1978 )
2451,Forces of Nature ( 1999 )
7425,Forever Fever ( 1998 )
12579,Forgetting Sarah Marshall ( 2008 )
351,Forrest Gump ( 1994 )
8483,Fort Apache ( 1948 )
9059,Fortress ( 1992 )
10294,Four Brothers ( 2005 )
13175,Four Christmases ( 2008 )
14829,Four Eyed Monsters ( 2005 )
15246,Four Lions ( 2010 )
17,Four Rooms ( 1995 )
352,Four Weddings and a Funeral ( 1994 )
24686,Foxcatcher ( 2014 )
5176,Frailty ( 2001 )
8969,Frankenhooker ( 1990 )
2539,Frankenstein ( 1931 )
19615,Frankenweenie ( 2012 )
4391,Frantic ( 1988 )
17734,Freakonomics ( 2010 )
6468,Freaky Friday ( 2003 )
12225,Fred Claus ( 2007 )
6490,Freddy vs. Jason ( 2003 )
1870,Freddy's Dead: The Final Nightmare ( 1991 )
22040,Free Birds ( 2013 )
43854,Free Fire ( 2017 )
39164,Free State of Jones ( 2016 )
450,Free Willy ( 1993 )
11512,Freedom Writers ( 2007 )
10840,Freedomland ( 2006 )
33354,Freeheld ( 2015 )
31519,French Women ( 2014 )
2075,Frenzy ( 1972 )
3398,Frequency ( 2000 )
5672,Frida ( 2002 )
68,Friday ( 1995 )
5758,Friday After Next ( 2002 )
